's-hertogenbosch	(name) 's-Hertogenbosch
administrator	(noun) (government, management, technology) administrator
administratorski	(adj) administrator's, of an administrator
administratorstwo	(noun) (government, technology) administratorship
administratura	(noun) (government) title, function, or position given to an administrator
administratywista	(noun) (law) administrative lawer
administrować	(verb) (transitive, Middle Polish) to administer, to dole, to distribute [+accusative]; (reflexive, Middle…
admiracja	(noun) (Middle Polish) amazement, awe, stupor
admiracyjny	(adj) (relational, dated or literary) admiration
admiralicja	(noun) (military) admiralty (office or jurisdiction of an admiral); (military) admiralty
admiralski	(adj) (relational, military) admiral's, of an admiral
admiralstwo	(noun) (military) admiralship
admirator	(noun) admirer, lover (person who admires something)
admirał	(noun) (military, nautical) admiral; admiral
admirał floty	(noun) (nautical, military) admiral of the fleet, fleet admiral
admirałowy	(adj) (archaic, relational, military) admiral's, admiral
admirować	(verb) (transitive, literary) to admire
admisja	(noun) admission; (Middle Polish) audience, hearing (formal meeting)
admitancja	(noun) (physics) admittance (the reciprocal of impedance)
admonicja	(noun) (archaic) admonition, reprimand
adnominalny	(adj) (grammar) adnominal (connecting with a noun)
adnotacja	(noun) (programming) annotation (metadata added to a document or program)
adnotować	(verb) to annotate
adolescencja	(noun) adolescence
adolescent	(noun) adolescent (growing child of any gender)
adopcja	(noun) (law) adoption
adopcyjny	(adj) (relational, law) adoption; adoptive
adoptować	(verb) (transitive, law) to adopt (to take by choice into relationship); (transitive, Middle Polish) to use, to…
adoracja	(noun) (literary) adoration (act of religious worship); (religion) adoration (admiration or esteem)
adoracyjny	(adj) (relational, religion) adorational, adoration
adorant	(noun) (art, religion) orans, orant, orante
adorator	(noun) (literary) adorer, admirer, wooer (one with romantic interests); (religion) adorer, worshiper (one who…
adorować	(verb) (transitive) to adore, to love; (transitive, religion) to adore, to worship
adrenalina	(noun) (biochemistry) adrenaline; (colloquial) adrenaline (excitement, thrills)
adrenalinowy	(adj) (relational, biochemistry) adrenaline
adrenergiczny	(adj) (biochemistry) adrenergic (containing or releasing adrenaline)
adrenokortykotropina	(noun) (biochemistry) adrenocorticotrophin, adrenocorticotropic hormone
adres	(noun) address; (computing) address
adresant	(noun) sender
adresarka	(noun) addressograph
adresat	(noun) addressee (person to whom a package is directed); addressee (person to whom a statement is directed)
adresograf	(noun) addressograph
adresografia	(noun) addressing; (computing) addressing
adresowalność	(noun) addressability
adresować	(verb) (transitive) to address (to mark post to a specific location) [+ do (genitive)]; (transitive, literary) to…
adresowy	(adj) (relational) address
adresówka	(noun) tag, dog tag
adsorbat	(noun) (chemistry, physics) adsorbate
adsorbent	(noun) (chemistry, physics) adsorbent
adsorber	(noun) (chemistry, physics) adsorbing device
adsorbować	(verb) (transitive, chemistry, physics) to adsorb
adsorpcja	(noun) (chemistry, physics) adsorption
adsorpcyjny	(adj) (relational, chemistry, physics) adsorption; adsorptional
adstrat	(noun) (linguistics) adstratum, adstrate
adular	(noun) (mineralogy) adularia
