's-hertogenbosch	(name) 's-Hertogenbosch
zaokrąglanie	(noun) (mathematics) rounding; (linguistics) rounding
zaokrąglać	(verb) (transitive) to round off (e.g. edges), to make round; (transitive, mathematics) to round off
zaokrąglić	(verb) (transitive) to round off (e.g. edges), to make round; (transitive, mathematics) to round off
zaokrąglony	(adj) rounded, curvy, full
zaolzie	(name) Trans-Olza, Zaolzie; Zaolzie (any of various settlements in Poland)
zaopatrywać	(verb) (transitive) to supply, to furnish, to cater, to provision, to purvey
zaopatrzenie	(noun) (singular only) procurement, provision, supply
zaopatrzeniowiec	(noun) (business) buyer, purchaser, procurer
zaopatrzyć	(verb) (transitive) to supply, to provide, to provision
zaopiniować	(verb) (transitive) to give an opinion on, to pass judgment on, to criticise
zaoponować	(verb) (intransitive) to oppose; (intransitive) to oppose
zaorać	(verb) (transitive) to plough, (US) plow; (colloquial, transitive) to work hard; to work one's butt off
zaordynować	(verb) (transitive) to prescribe; (transitive) to prescribe
zaostrzać	(verb) (transitive) to tighten, to toughen
zaostrzyć	(verb) (transitive) to tighten, to toughen
zaoszczędzać	(verb) (transitive) to economise, to save (e.g. time); (transitive) to save up, to rack up
zaoszczędzić	(verb) (transitive) to economise, to save; (transitive) to save up, to rack up
zaowocować	(verb) (transitive) to fruit, to bear fruit (of a tree)
zapach	(noun) aroma, smell, fragrance, perfume; odour, stink, stench
zapachowy	(adj) fragrant, aromatic
zapad	(noun) (dated) cave-in, hollow; (dated) the process of falling, collapsing
zapadać	(verb) (intransitive) to collapse; (intransitive, figuratively) to fall, to descend, to immerse, to delve into
zapadać się pod ziemię	(verb) (intransitive, idiomatic) to go to ground out of embarrassment
zapadka	(noun) pawl
zapadlisko	(noun) sinkhole
zapadnia	(noun) (theater) trapdoor; (rare) depression
zapadły	(adj) concave (curved inward); collapsed
zapakować	(verb) (transitive) to pack, to wrap (to make a package out of); (transitive) to pack
zapakowywać	(verb) (transitive) to pack, to wrap (to make a package out of); (transitive) to pack
zapalara	(noun) (colloquial) lighter
zapalać	(verb) (transitive) to ignite, to light; (transitive) to switch on, to turn on, to start
zapalczywie	(adv) hotheadedly, impetuously
zapalczywość	(noun) hotheadedness, impetuousness
zapalczywy	(adj) fiery, hotheaded, impetuous
zapalenie	(noun) (medicine) inflammation
zapalenie wyrostka	(noun) appendicitis
zapalenie wątroby	(noun) hepatitis
zapaleniec	(noun) enthusiast, fan, devotee
zapalić	(verb) (transitive) to ignite, to light (e.g. a cigarette); (transitive) to switch on, to turn on, to start
zapalniczka	(noun) lighter
zapalnik	(noun) (military) fuze
zapalny	(adj) flammable, inflammable; (relational, medicine) inflammation
zapalony	(adj) avid, ardent, keen, enthusiastic
zapamiętale	(adv) devoutly, passionately, ardently
zapamiętać	(verb) (transitive) to memorize, to remember
zapamiętały	(adj) devout, passionate, ardent
zapamiętywanie	(noun) memorizing
zapamiętywać	(verb) (transitive) to memorize, to remember
zapanować	(verb) (intransitive) to reign, to rule, to dominate [+ nad (instrumental) = over something]; (intransitive) to…
zaparcie	(noun) (medicine) constipation
zaparkować	(verb) (transitive) to park (e.g. a car)
zapartek	(noun) (obsolete) addled egg
zaparty	(adj) stubborn, obstinate; constipated (affected with constipation)
zaparzacz	(noun) cafetiere, press pot, infuser
zaparzaczka	(noun) tea strainer, infuser, tea ball
zaparzać	(verb) (transitive) to infuse, to brew, to steep
zaparzyć	(verb) (transitive) to infuse, to brew, to steep
zapas	(noun) stockpile, reserve
zapasać	(verb) (transitive) to graze or feed excessively; (reflexive) to put on weight excessively
zapaska	(noun) a type of loose wool apron worn by rural women
zapaskudzać	(verb) (transitive) to soil, to dirty, to contaminate
zapaskudzić	(verb) (transitive) to soil, to dirty, to contaminate
zapasy	(noun) (sports) wrestling
zapatować	(verb) (transitive, chess) to stalemate
zapatrywać	(verb) (reflexive) to focus, to fix one's attention [+ na (accusative) = on something]
zapatrzyć	(verb) (reflexive) to focus, to fix one's attention [+ na (accusative) = on something]
zapał	(noun) zeal
zapałać	(verb) (intransitive) to feel strongly about something
zapałka	(noun) match (device to make fire)
zapaśnik	(noun) (sports) wrestler
zapaść	(verb) (intransitive) to collapse; (intransitive, figuratively) to fall, to descend, to immerse, to delve into
zapaść się pod ziemię	(verb) (intransitive, idiomatic) to go to ground out of embarrassment
zapchajdziura	(noun) (colloquial) stopgap (temporary, short-term measure)
zapchać	(verb) (transitive, also figuratively) to clog, to block, to stuff up; (transitive) to stuff, to fill in (e.g. a…
zapeklować	(verb) (transitive, cooking) to cure food
zaperzać	(verb) (reflexive) to become enraged, to become furious; (reflexive) to become covered in couch grass
zaperzyć	(verb) (reflexive) to become enraged, to become furious; (reflexive) to become covered in couch grass
zapeszać	(verb) (transitive) to jinx
zapeszyć	(verb) (transitive) to jinx
zapewniać	(verb) (transitive) to assure, to reassure [+ o (locative) = of something]; (transitive) to ensure, to guarantee
zapewnienie	(noun) guarantee, assurance; claim, assertion
zapewnić	(verb) (transitive) to assure, to reassure [+ o (locative) = of something]; (transitive) to ensure, to provide,…
zapełniać	(verb) (transitive) to fill, to occupy (take up the whole space of)
zapełnić	(verb) (transitive) to fill, to occupy (take up the whole space of)
zapiec	(verb) (transitive, cooking) to brown by baking
zapiecek	(noun) chimney corner, inglenook
zapieczętować	(verb) (transitive) to seal, to stamp
zapiekanka	(noun) casserole
zapiekać	(verb) (transitive, cooking) to brown by baking
zapiekły	(adj) clotted, coagulated, caked; dried up, parched
zapieprz	(noun) (colloquial, vulgar) drudgery (difficult job)
zapieprzać	(verb) (intransitive, colloquial, vulgar) to slave, to tool, to work very hard; (intransitive, colloquial,…
zapieprzyć	(verb) (transitive, colloquial, vulgar) to steal (to illegally take possession of); (transitive, colloquial,…
zapierać	(verb) (transitive) to wash up, to wash over; (transitive) to make breathing difficult [+dative = for whom]
zapierać dech	(verb) (intransitive, idiomatic) to take someone's breath away
zapierać dech w piersiach	(verb) (intransitive, idiomatic) Alternative form of zapierać dech
zapierdalać	(verb) (transitive, vulgar) to steal
zapierdolić	(verb) (transitive, vulgar) to steal; (transitive, vulgar) to beat someone up to the point of unconsciousness or…
zapijać	(verb) (transitive) to wash down, to chase (drink after eating); (transitive) to drink in order to forget, to…
zapinać	(verb) (transitive) to fasten, to button; (reflexive) to tie
zapinka	(noun) clasp, buckle
zapis	(noun) recording; record, entry
zapisać	(verb) (transitive) to note, to record, to write down, to take down; (transitive) to bequeath
zapisywać	(verb) (transitive) to note, to record, to write down, to take down; (transitive) to bequeath
zapiszczeć	(verb) (intransitive) to squeak, to squeal
zapitka	(noun) (regional) chaser
zapity	(adj) (colloquial) drunk
zapiąć	(verb) (transitive) to fasten, to button; (reflexive) to tie
zapić	(verb) (transitive) to wash down, to chase (drink after eating); (reflexive) to drink oneself to death
zapięcie	(noun) fastener, lock, clasp
zaplamić	(verb) (transitive) to stain, to soil
zaplanować	(verb) (transitive) to plan (to create a plan for)
zaplatać	(verb) (transitive) to plait, braid
zaplecze	(noun) back, back room, rear (e.g. of a store); supply base, supply network, back office
zapleść	(verb) (transitive) to plait, braid
zaplombować	(verb) (transitive) to seal; (transitive, dentistry) to fill
zaplątać	(verb) (transitive) to tangle, to ravel; (reflexive) to become tangled
zaplątywać	(verb) (transitive) to tangle, to ravel; (reflexive) to become tangled
zapobiec	(verb) (intransitive) to prevent, to avert, to ward off [+dative]
zapobiegawczy	(adj) preventive; precautionary
zapobiegać	(verb) (intransitive) to prevent, to avert, to ward off [+dative]
zapobiegliwie	(adv) forethoughtfully; in a forethoughtful manner
zapobiegliwość	(noun) forethought
zapobiegliwy	(adj) forethoughtful, provident
zapoczątkować	(verb) (transitive) to initiate, to start, to launch
zapoczątkowywać	(verb) (transitive) to initiate, to start, to launch
zapodziać	(verb) (transitive) to misplace, to lose; (reflexive) to go missing, to disappear
zapodziewać	(verb) (transitive) to misplace, to lose; (reflexive) to go missing, to disappear
zapojka	(noun) (regional) chaser
zapole	(noun) (agriculture, regional) grain bin; (agriculture, archaic) outfield
zapominalski	(adj) forgetful (liable to forget)
zapominać	(verb) (transitive) to forget [+accusative something or someone]; (transitive) to forget [+genitive something or…
zapomniany	(adj) forgotten
zapomnienie	(noun) forgottenness, oblivion (state of being forgotten); forgetfulness, absent-mindedness
zapomnieć	(verb) (transitive) to forget [+accusative something or someone]; (transitive) to forget [+genitive something or…
zapomoga	(noun) grant, handout (non-returnable financial assistance)
zapora	(noun) dam; barrier, barrage
zapora sieciowa	(noun) (computing) firewall
zaporoski	(adj) (relational) Zaporizhian (of or pertaining to Zaporizhia); (relational, historical) Zaporozhian (of or…
zaporoże	(name) Zaporizhia (a city in Ukraine)
zapowiadać	(verb) (transitive) to announce, to present; (transitive) to promise, to spell, to augur, to presage
zapowiedzieć	(verb) (transitive) to announce, to present; (transitive) to promise, to spell, to augur, to presage
zapowiedź	(noun) announcement; preview
zapowietrzać	(verb) (transitive) to trap air in; (reflexive) to become airlocked
zapowietrzyć	(verb) (transitive) to trap air in; (reflexive) to become airlocked
zapoznawać	(verb) (transitive) to acquaint, to familiarise; (reflexive) to get acquainted, to become familiar
zapoznać	(verb) (transitive) to acquaint, to familiarise; (reflexive) to get acquainted, to become familiar
zapośredniczać	(verb) (transitive, literary) to convey, to mediate; (reflexive, literary) to be mediated
zapośredniczyć	(verb) (transitive, literary) to convey, to mediate; (reflexive, literary) to be mediated
zapożyczać	(verb) (transitive) to import; (reflexive) to get into debt
zapożyczenie	(noun) (linguistics) borrowing, loanword
zapożyczyć	(verb) (transitive) to import; (reflexive) to get into debt
zapracować	(verb) (intransitive) to earn, to merit [+ na (accusative)]; (reflexive) to work oneself to death
zapracowywać	(verb) (intransitive) to earn, to merit [+ na (accusative)]; (reflexive) to work oneself to death
zapragnąć	(verb) (transitive) to desire, to wish for; (intransitive, literary, rare) to become athirst
zapraszać	(verb) (transitive) to invite
zaprawa	(noun) (masonry) mortar; condiments, seasonings
zaprawdę	(particle) (dated) verily
zaprawiać	(verb) (transitive) to spice up, to season, to lace; (transitive, masonry) to mortar, to render
zaprawiony kroplą goryczy	(adj) bittersweet
zaprawić	(verb) (transitive) to spice up, to season, to lace; (transitive, masonry) to mortar, to render
zaprać	(verb) (transitive) to wash up, to wash over
zaprenumerować	(verb) (transitive) to subscribe to
zaprezentować	(verb) (transitive) to present, to show; (transitive) to represent (to express or embody)
zaprogramować	(verb) (transitive) to program; (literary, transitive) to program (a person to think a certain way)
zaprojektować	(verb) (transitive) to design
zaproksymować	(verb) (transitive) to approximate (to estimate); (transitive, mathematics) to approximate
zaproponować	(verb) (transitive) to propose, to suggest, to offer, to put forth
zaprosić	(verb) (transitive) to invite
zaproszenie	(noun) invitation
zaprotestować	(verb) (intransitive, politics) to protest (to make a strong objection)
zaprotokołować	(verb) (transitive) to minute (e.g. a meeting)
zaprowadzać	(verb) (transitive) to guide, to conduct, to show (bring to a specified location)
zaprowadzić	(verb) (transitive) to guide, to conduct, to show (bring to a specified location)
zaprowidować	(verb) (transitive, dated) to provide, to provision; (reflexive, dated) to be provided, to be provisioned
zaprzaniec	(noun) (archaic) traitor, turncoat
zaprzeczać	(verb) (transitive) to deny, to contradict; (transitive) to disprove
zaprzeczyć	(verb) (transitive) to deny, to contradict; (transitive) to disprove
zaprzedaniec	(noun) (archaic) traitor
zaprzedawać	(verb) (transitive) to betray for one's personal gain, to sell out; (transitive, historical) to sell into…
zaprzedać	(verb) (transitive) to betray for one's personal gain, to sell out; (transitive, historical) to sell into…
zaprzepaszczać	(verb) (transitive) to pass up (e.g. an opportunity), to forfeit, to squander
zaprzepaścić	(verb) (transitive) to pass up (e.g. an opportunity), to forfeit, to squander
zaprzestawać	(verb) (transitive) to cease, to stop [+genitive]
zaprzestać	(verb) (transitive) to cease, to stop [+genitive]
zaprzeć	(verb) (transitive) to make breathing difficult [+dative = for whom]; (transitive) to block something by lean…
zaprzyjaźniać	(verb) (reflexive) to make friends
zaprzyjaźniony	(adj) friends with
zaprzyjaźnić	(verb) (reflexive) to make friends
zaprzysiąc	(verb) (transitive) to administer an oath, to swear in; (intransitive) to pledge an oath
zaprzysięgać	(verb) (transitive) to administer an oath, to swear in; (intransitive) to pledge an oath
zaprzysiężenie	(noun) adjuration; administration of an oath, swearing-in
zaprząc	(verb) (transitive) to harness (to put a harness on an animal); (transitive, colloquial) to force (a person or…
zaprzątać	(verb) (transitive) to absorb, to engross, to preoccupy
zaprzątnąć	(verb) (transitive) to absorb, to engross, to preoccupy
zaprzątywać	(verb) (transitive) to absorb, to engross, to preoccupy
zaprzęg	(noun) a horse-drawn vehicle; any animal-drawn vehicle; a group of animals used to pull a vehicle (such as a…
zaprzęgać	(verb) (transitive) to harness (to put a harness on an animal); (transitive) to harness, to control (some power…
zapukać	(verb) (intransitive) to knock several times; (figuratively, intransitive) to turn to, to address [+ do…
zapusty	(noun) (archaic) Shrovetide, Shrove Tuesday; Slavic carnival
zapuszczać	(verb) (transitive) to grow (of hair); (transitive) to neglect, to not clean or tidy something
zapuszkować	(verb) (transitive) to can, to seal in a can; (transitive, colloquial) to imprison, to lock up, to can
zapuścić	(verb) (transitive) to grow (of hair); (transitive) to neglect, to not clean or tidy something
zapychać	(verb) (transitive, also figuratively) to clog, to block, to stuff up; (transitive) to stuff, to fill in (e.g. a…
zapytanie	(noun) (computing, databases) query; question
zapytać	(verb) (transitive) to ask; (reflexive) to question
zapytywać	(verb) (transitive) to ask; (reflexive) to question
zapyziały	(adj) shabby, run-down, unkempt
zapyzieć	(verb) (intransitive, colloquial) to let oneself go and laze
zapędzać	(verb) (transitive) to drive, to herd; (transitive) to spur, to prod, to coax
zapędzić	(verb) (transitive) to drive, to herd; (transitive) to spur, to prod, to coax
zapętlać	(verb) (transitive) to tie, to loop (to tie something into a loop shape); (transitive) to tangle, to confuse
zapętlić	(verb) (transitive) to tie, to loop (to tie something into a loop shape); (transitive) to tangle, to confuse
zapłacić	(verb) (transitive) to pay; (transitive) to pay (suffer the consequences)
zapładniać	(verb) (transitive) to fertilise, to inseminate
zapłakany	(adj) tearful
zapłakać	(verb) (intransitive) to start crying; (intransitive) to deplore, to lament over
zapłakiwać	(verb) (reflexive) to cry extensively
zapłata	(noun) payment; payment (the act of paying)
zapłodnienie	(noun) impregnation, conception
zapłodnić	(verb) (transitive) to fertilise, to inseminate
zapłon	(noun) ignition
zarabiać	(verb) (transitive) to earn; (transitive) to make money, to turn a profit
zaradnie	(adv) resourcefully
zaradność	(noun) resourcefulness
zaradny	(adj) buccaneering, canny, rakish, resourceful, streetwise
zaradzać	(verb) (transitive) remedy, to solve (e.g. a problem)
zaradzić	(verb) (transitive) remedy, to solve (e.g. a problem)
zaranie	(noun) (archaic, literary) dawn, daybreak (the time when the sun rises); (figuratively, literary) dawn (the…
zarapować	(verb) (reflexive) to rap
zarastać	(verb) (intransitive) to be overgrown [+instrumental = with something]; (transitive) to overgrow, to cover
zaratusztrianizm	(noun) Zoroastrianism
zaraz	(adv) at once, immediately; soon, with a verb, approximately about to
zaraz, zaraz	(particle) (colloquial) wait a minute
zaraza	(noun) contagion, epidemic, pestilence, plague (disease); (colloquial) plague
zarazek	(noun) (microbiology) microbe
zarazem	(particle) at the same time, simultaneously; also
zarazić	(verb) (reflexive, pathology) to contract, to catch [+instrumental = something]
zaraźliwie	(adv) contagiously
zaraźliwy	(adj) contagious
zarażać	(verb) (reflexive, pathology) to contract, to catch [+instrumental = something]
zarchaizować	(verb) (transitive, literary) to archaize
zarchiwizować	(verb) (transitive) to archive
zardzewieć	(verb) (intransitive) to rust away, to oxidize; (intransitive, figuratively) to rust
zareagować	(verb) (intransitive) to respond (to act in return) [+ na (accustive) = to something]; (intransitive) to react…
zarechotać	(verb) (intransitive) to croak (make frog sounds); (intransitive or reflexive, colloquial) to guffaw, to chortle,…
zarejestrować	(verb) (transitive) to register, to enregister; (transitive) to record, to log
zarekomendować	(verb) (transitive, literary) to recommend; (reflexive, literary) to recommend oneself
zarekwirować	(verb) (transitive) to confiscate, to requisition
zarezerwować	(verb) (transitive) to reserve, to book (to make a booking); (transitive) to reserve (to keep back)
zarobek	(noun) pay, wages; (usually in the plural) earnings
zarobiony	(adj) (colloquial, humorous) swamped, overworked
zarobić	(verb) (transitive) to earn, to make
zarobkować	(verb) (intransitive) to earn one's crust, to make a living (to support oneself financially)
zarobkowo	(adv) gainfully
zarobkowy	(adj) gainful, profitable
zarodek	(noun) embryo; (botany) germ, embryo
zarodkowy	(adj) embryonic
zarodnia	(noun) sporangium
zarodnik	(noun) spore
zarodowy	(adj) (of animals) used for breeding
zarodziec	(noun) (biology) plasmodium
zaromatyzować	(verb) (transitive) to aromatize
zarosnąć	(verb) (intransitive) to be overgrown [+instrumental = with something]; (transitive) to overgrow, to cover
zarost	(noun) facial hair
zarosły	(adj) overgrown, covered [+instrumental = with something]
zarozumiale	(adv) conceitedly, presumptuously
zarozumialec	(noun) (derogatory, literary) bighead, cockscomb, prig
zarozumialstwo	(noun) conceit, conceitedness, presumption, presumptuousness, self-conceit
zarozumiałość	(noun) conceit, conceitedness, presumption, presumptuousness, self-conceit
zarozumiały	(adj) conceited, presumptuous
zarośla	(noun) thicket or copse, usually of shrubs
zarośnięcie	(noun) (medicine) atresia
zarośnięty	(adj) overgrown; unshaven (not having shaved)
zaruchać	(verb) (intransitive, vulgar) to lose one's virginity; used mainly of men
zarumienić	(verb) (transitive) to make ruddy; (transitive, cooking) to brown
zarwać	(verb) (transitive) to break, to devastate, to cause to collapse; (transitive, colloquial) to shirk, to neglect
zaryczeć	(verb) (intransitive, of animals) to roar; (intransitive, of people) to bawl, to bellow
zarys	(noun) shape (appearance or outline); draft, outline, sketch (preliminary plan of a project)
zarysować	(verb) (transitive) to sketch, to outline; (transitive) to scratch, to scrape
zarysowywać	(verb) (transitive) to sketch, to outline; (transitive) to scratch, to scrape
zarywać	(verb) (transitive) to break, to devastate, to cause to collapse; (transitive, colloquial) to shirk, to neglect
zaryzykować	(verb) (intransitive) to risk
zaryć	(verb) (intransitive or reflexive) to burrow in [+ w (accusative) = into something]; (transitive, archaic) to…
zarzeczny	(adj) lying, dwelling, or located on the other side of or beyond a river
zarzewie	(noun) (literary, obsolete) embers; (figuratively) seeds (e.g. of revolution)
zarzucać	(verb) (transitive) to throw (in order to catch or hang on something); (transitive) to fling, to hurl (throw…
zarzucić	(verb) (transitive) to throw (in order to catch or hang on something); (transitive) to fling, to hurl (throw…
zarzut	(noun) objection, reproach; allegation, accusation
zarzutka	(noun) (obsolete) cape, mantle; soup with sauerkraut
zarzynać	(verb) (transitive) to slaughter (to butcher animals); (transitive, colloquial) to damage through misuse
zarząd	(noun) council; administration (the executive part of government)
zarządca	(noun) director, administrator
zarządzanie	(noun) command; management
zarządzać	(verb) (transitive) to command, preordain; (transitive) to manage
zarządzenie	(noun) fiat; order
zarządzić	(verb) (transitive) to command, preordain
zaród	(noun) (biology, dated) embryo; (figuratively) seed, embryo, beginning
zarąbisty	(adj) (colloquial, euphemistic) kick-ass, shit-hot, freaking awesome
zaręczać	(verb) (transitive) to swear (to take an oath); (reflexive) to get engaged, to get betrothed
zaręczynowy	(adj) (relational) engagement, betrothal
zaręczyny	(noun) betrothal, engagement
zaręczyć	(verb) (transitive) to swear (to take an oath); (reflexive) to get engaged, to get betrothed
zarżeć	(verb) (intransitive) to neigh; to guffaw; to laugh loudly
zarżnąć	(verb) (transitive) to slaughter (to butcher animals); (transitive, colloquial) to damage through misuse
zasada	(noun) principle, rule; (chemistry) base
zasadniczo	(adv) elementarily, basically, fundamentally, essentially, in principle; principally, chiefly, mainly, primely
zasadniczy	(adj) elementary, basic, fundamental, essential; principal, chief, main, prime
zasadność	(noun) legitimacy, validity, justness
zasadny	(adj) (formal, dated) justified, legitimate
zasadowica	(noun) alkalosis
zasadowy	(adj) (chemistry) alkaline, basic (having a pH greater than 7)
zasadzać	(verb) (transitive) to plant; (transitive, dated) to sit, to seat
zasadzić	(verb) (transitive) to plant; (transitive, dated) to sit, to seat
zasadzka	(noun) ambush
zasalutować	(verb) (intransitive) to salute; (intransitive) to salvo (to discharge weapons in a salvo)
zaschnąć	(verb) (intransitive) to dry up, to dry out; (intransitive) to congeal, to set
zaschły	(adj) dry, dried up, dried out; withered, shrivelled
zaserwować	(verb) (transitive, sports) to serve; (transitive, figuratively) to dish out (to distribute or deliver something)
zasiadać	(verb) (intransitive, literary) to sit, to be seated; (intransitive) to sit in order to do something [+ do…
zasiać	(verb) (transitive) to sow, to plant; (transitive, figuratively) to sow (e.g. doubt, suspicion)
zasie	(conj) (obsolete) whereas, while, however
zasiedlać	(verb) (transitive) to settle, to colonise (e.g. a place)
zasiedlić	(verb) (transitive) to settle, to colonise (e.g. a place)
zasiek	(noun) (military) abatis (means of defense)
zasiew	(noun) insemination (act of sowing seed); sown plants
zasiewać	(verb) (transitive) to sow, to plant; (transitive, figuratively) to sow (e.g. doubt, suspicion)
zasilacz	(noun) power supply; power brick
zasilanie	(noun) supplying
zasilać	(verb) (transitive) to power (supply with energy)
zasilić	(verb) (transitive) to power (supply with energy); (transitive) to strengthen, to fortify
zasiąść	(verb) (intransitive, literary) to sit, to sit down; (intransitive) to sit in order to do something [+ do…
zasięg	(noun) range, reach; (biogeography) range
zasięgać	(verb) (transitive) to consult about, to ask about [+accusative]
zasięgnąć	(verb) (transitive) to consult about, to ask about [+accusative]
zasiłek	(noun) allowance, benefit, welfare (financial aid payment)
zaskakiwać	(verb) (transitive) to surprise, to startle, to catch unawares; (transitive) to baffle, to throw, to confound
zaskakująco	(adv) surprisingly, shockingly, astonishingly, jaw-droppingly
zaskakujący	(adj) surprising, shocking, astonishing, jaw-dropping
zaskarbiać	(verb) (reflexive (+ sobie)) to earn, to win over (to gain through applied effort)
zaskarbić	(verb) (reflexive (+ sobie)) to earn, to win over (to gain through applied effort)
zasklepiać	(verb) (transitive) to arch, to vault; (transitive) to stop (to close an opening)
zasklepić	(verb) (transitive) to arch, to vault; (transitive) to stop (to close an opening)
zaskoczenie	(noun) amazement, astonishment
zaskoczony	(adj) surprised, startled, taken aback
zaskoczyć	(verb) (transitive) to surprise, to startle, to catch unawares; (transitive) to baffle, to throw, to confound
zaskroniec	(noun) any member of the genus Natrix, especially the grass snake (Natrix natrix)
zaskrzeczeć	(verb) (intransitive) to squawk; (intransitive) to screech
zaskrzypieć	(verb) (intransitive) to crunch, to creak (emit a crunching or creaking sound)
zaskórniak	(noun) (colloquial) nest egg
zaskórnik	(noun) comedo, whitehead, blackhead
zasmakować	(verb) (intransitive) to take to, to develop a taste [+ w (locative) = for something]; (intransitive) to appeal,…
zasmażać	(verb) (transitive, cooking) to brown by frying; (transitive, cooking) to add a roux, to thicken
zasmażka	(noun) roux
zasmażyć	(verb) (transitive, cooking) to brown by frying; (transitive, cooking) to add a roux, to thicken
zasmucać	(verb) (transitive) to sadden (make sad); (reflexive) to sadden (become sad)
zasmucić	(verb) (transitive) to sadden (make sad); (reflexive) to sadden (become sad)
zasmucony	(adj) saddened
zasnąć	(verb) (intransitive) to fall asleep
zasobnik	(noun) storage container; tray, such as in a printer
zasobność	(noun) affluence, wealth
zasobny	(adj) affluent, opulent; well-stocked, abundant
zaspa	(noun) snowdrift
zaspany	(adj) sleepy, woozy (heavy with sleep)
zaspać	(verb) (intransitive) to oversleep (sleep for longer than one planned)
zaspokajać	(verb) (transitive) to satisfy, to satiate, to assuage
zaspokoić	(verb) (transitive) to satisfy, to satiate, to assuage
zaspokojony	(adj) fulfilled, sated
zasraniec	(noun) (vulgar, colloquial) snot, brat; (vulgar, colloquial) piece of shit, shithead
zasrany	(adj) (vulgar) feculent, shitty (covered in shit); (vulgar) shitty (very bad, miserable)
zasrać	(verb) (transitive, vulgar) to shit, to soil; (reflexive, vulgar) to shit oneself, to soil oneself
zassać	(verb) (transitive, reflexive) to suck in, to suck up (draw in using suction); (transitive, reflexive,…
zastanawiać	(verb) (transitive) to mystify, to bewilder; (reflexive) to ponder; to dwell [+ nad (instrumental) = on something]
zastanowienie	(noun) consideration, thought, deliberation
zastanowić	(verb) (transitive) to mystify, to bewilder; (reflexive) to reflect, to ponder [+ nad (instrumental) = on something]
zastarzały	(adj) longstanding, old (having existed for a long time)
zastaw	(noun) pledge; pledge
zastawa	(noun) tableware, dinnerware
zastawać	(verb) (transitive) to find, to come across, to happen upon; (reflexive) to stiffen, to seize up
zastawiać	(verb) (transitive) to cram, to stuff; (transitive) to block off, to obstruct
zastawić	(verb) (transitive) to cram, to cover; (transitive) to block off, to obstruct
zastawka	(noun) (anatomy) valve; a device that controls the flow of water
zastawkowy	(adj) (relational) valve
zastać	(verb) (transitive) to find, to come across, to happen upon; (reflexive) to stiffen, to seize up
zastały	(adj) unmoving, stiff; stagnant, stale
zastopować	(verb) (transitive) to stop (to cause to cease moving); (transitive) to curb, to inhibit, to restrain
zastosowanie	(noun) application, use (function)
zastosować	(verb) (transitive) to apply, to employ, to use; (reflexive) to abide by [+ do (genitive) = something]
zastosowywać	(verb) (transitive) to apply, to employ, to use; (reflexive) to abide by [+ do (genitive) = something]
zastraszać	(verb) (transitive) to browbeat, to intimidate
zastraszyć	(verb) (transitive) to browbeat, to intimidate
zastrupieć	(verb) (intransitive, colloquial, rare) to scab (to become covered by a scab or scabs)
zastrzał	(noun) (medicine) whitlow
zastrzec	(verb) (transitive) to stipulate, to condition, to reserve
zastrzegać	(verb) (transitive) to stipulate, to condition, to reserve
zastrzelić	(verb) (transitive) to gun down, kill someone as a result of firing a projectile; (reflexive) to shoot oneself,…
zastrzeżenie	(noun) caveat, condition, stipulation; objection, reservation
zastrzeżony	(adj) restricted (classification of secrecy); (law) reserved
zastrzyk	(noun) (medicine) injection; (figuratively) injection, dose, boost
zastukać	(verb) (transitive) to knock, to tap
zastygać	(verb) (intransitive) to congeal (change from liquid to solid due to cold); (intransitive) to freeze in place, to…
zastygnąć	(verb) (intransitive) to congeal (change from liquid to solid due to cold); (intransitive) to freeze in place, to…
zastygły	(adj) frozen in place
zastój	(noun) slump, stagnation (being stagnant); (pathology) stasis (slackening of blood current)
zastąpić	(verb) (transitive) to stand in for, to deputise for, to replace
zastęp	(noun) (Scouting) troop (scouting unit); host, throng (a great number of beings)
zastępca	(noun) deputy, stand-in, replacement
zastępczy	(adj) replacement, substitute
zastępować	(verb) (transitive) to stand in for, to deputise for, to replace
zastępstwo	(noun) replacement, substitution
zasugerować	(verb) (transitive) to suggest, to prompt; (transitive) to imply
zasunąć	(verb) (transitive) to close by moving, to shut (e.g. a drawer), to put away; (transitive) to fasten two parts…
zasuwa	(noun) (construction) bolt
zasuwać	(verb) (transitive) to close by moving, to shut (e.g. a drawer), to put away; (transitive) to fasten two parts…
zasychać	(verb) (intransitive) to dry up, to dry out; (intransitive) to congeal, to set
zasygnalizować	(verb) (transitive) to indicate, to signalize (to be a sign of); (transitive) to signal (to convey or communicate…
zasymilować	(verb) (transitive) to assimilate; (transitive) to assimilate
zasypać	(verb) (transitive) to cover, to strew [+instrumental = with some friable material]; (transitive, of earth,…
zasypiać	(verb) (intransitive) to fall asleep; (intransitive) to oversleep (to sleep for longer than one planned)
zasypka	(noun) (medicine, cosmetics) powder
zasypywać	(verb) (transitive) to cover, to strew [+instrumental = with some friable material]; (transitive, of earth,…
zasysać	(verb) (transitive, reflexive) to suck in, to suck up (draw in using suction); (transitive, reflexive,…
zasyłać	(verb) (transitive, archaic) to send
zaszachować	(verb) (transitive, chess) to check; (transitive, colloquial) to checkmate
zaszantażować	(verb) (transitive) to blackmail
zaszczebiotać	(verb) (intransitive) to chirp, to twitter, to warble; (intransitive, figuratively) to chirp (speak in a…
zaszczuwać	(verb) (transitive) to hound (to persistently harass)
zaszczuć	(verb) (transitive) to hound (to persistently harass)
